faithfulness,answer_relevancy,context_precision,context_recall
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.75,1
1,1,0.66667,1
1,1,0.33333,1
0.95,1,0.66667,1
1,1,0.8,1
1,1,1,1
0.9,1,0.9,1
1,1,0.25,1
0.99999,1,0.5,1
1,1,1,1
1,1,0.5,1
1,1,1,1
1,1,0.95,1
1,1,1,1
1,1,0.5,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.7,1
1,1,0.95,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.45455,1
1,1,1,1
1,1,1,1
1,1,0.92857,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.11111,1
0,0,0,0
1,1,0.83333,1
1,1,1,1
0.98,1,0.95,1
0.8,0.7,0.5,0.25
0.99,1,0.4,0
0.99999,0.99999,0.99999,0.99999
0.9999,0.9999,0.8,0
1,1,1,1
1,1,1,1
1,1,0.65,1
1,1,1,1
1,1,1,1
0.95,1,0.8,1
1,1,1,1
0.99999,0.99999,0.2,1
1,1,1,1
1,1,1,1
1,1,0.26667,1
0.99,1,0.8,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.8,0.25
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,1,1
0.99999,0.99999,0.6,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0.07143,1
1,1,1,1
1,1,1,1
0,1,0.25,0
1,1,0.8,1
0.99,1,0.9,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,0.8,1
1,1,0.11538,1
1,1,1,1
0.95,0.9,0.6,0.25
0.2,0.1,0.25,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.5,1
1,1,0.13333,1
1,1,1,1
1,1,1,1
1,1,1,1
0.5,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.42857,1
1,1,0.10526,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0.18182,0
0.98,1,0.9,1
1,1,1,1
1,1,0.15385,1
0.98,0.9,0.9,0
0,0,0,0
1,1,1,1
1,1,0.95,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,0.2381,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.53846,1
0.95,1,1,1
1,1,1,1
0.9,0.7,0.4,1
1,1,1,1
1,1,0.5,1
1,1,1,1
0.95,0.9,0.7,0
1,1,1,1
1,1,1,1
1,1,1,1
0.98,1,0.75,1
0,0,0,0
0.99999,1,0.4,1
1,1,0.75,1
0,0,0,0
1,1,1,1
1,1,1,1
0,1,0,0
1,1,0.22581,1
0.99,1,0.75,1
1,1,0.25,1
1,1,0.8,1
0,0,0,0
1,1,0.83333,1
1,1,1,1
1,1,0.66667,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.42857,1
1,1,1,1
1,1,1,1
1,1,0.29412,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,0.8,1
0,1,0,0
1,1,1,1
0.5,0.5,0.5,0.5
1,1,0.22222,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,0.22727,1
0.95,1,1,1
0.95,0.9,0.9,0.5
1,1,1,1
0.95,1,0.375,1
1,1,1,1
1,1,0.5,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,1,0.6
1,1,0.6,1
0,1,0.4,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.9,1,0.8,0.5
0.95,0.8,0.8,0
0,0,0,0
1,1,1,1
1,1,0.29412,1
0.99999,0.99999,0.99999,0
0.9,0.7,0.8,0.25
1,1,1,1
1,1,1,1
1,1,0.875,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,1,1
1,1,0.1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.12903,1
0.95,1,0.25,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,0.8,1
0,1,0,0
1,1,0.2,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,0,1
0,1,0,1
1,1,0.25,1
1,1,0.9,1
1,1,0.95,1
1,1,1,1
0,0,0,0
0.9,1,0.2,0
1,1,0.57143,1
0,0,0.04348,0
0.99999,0.95122,0.89286,1
1,1,0.19355,1
1,1,1,1
1,1,1,1
0.95,0.9,0.8,0.25
1,1,1,1
1,1,0.11111,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,1,1
1,1,0.28571,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.5,0.5
0.99,1,0.9,1
1,1,1,1
0.99,1,0.4,1
1,1,1,1
1,1,1,1
0.95,1,0.7,0.75
0.9,1,0.2,0.5
1,1,0.10714,1
1,1,1,1
1,1,0.28571,1
1,1,0.14286,1
1,1,1,1
1,1,1,1
1,1,0.9,1
0.75,0.5,0.2,0.25
1,1,1,1
1,1,0.25,1
1,1,0.28571,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.9,1
1,1,1,1
1,1,1,1
0.99999,1,0.8,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.9,1,0.25,0.33333
0.5,0.4,0.4,0.25
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.44444,1
1,1,0.8,1
1,1,1,1
1,1,1,1
1,1,0.11111,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.16129,1
0.95,1,0.27273,1
1,1,1,1
0,0,0.3,0.25
1,1,0.15385,0
1,1,1,1
1,1,0.23077,1
1,1,0.18182,1
0.95,0.9,0.7,0.4
1,1,1,1
1,1,1,1
1,1,0.23077,1
1,1,1,1
0.99995,1,0.7,1
1,1,0.26316,1
1,1,1,1
1,1,0.13514,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,0.9,1
0.95,1,0.4,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,0,0
0,0,0.25,0.25
1,1,0.66667,1
1,1,1,1
1,1,1,1
0.16667,0,0.14286,0
1,1,1,1
1,1,1,1
1,1,1,1
0.95,0.9,0.8,0.7
0.99,1,0.38,1
0.5,1,0,1
0.9,1,0.2,0.25
1,1,1,1
0.85714,1,1,1
0.75,1,0.78261,1
1,1,1,1
0,0,0,0
1,1,1,1
0.95,0.95,0.9,1
1,1,1,1
1,1,1,1
1,1,0.75,1
1,1,1,1
1,1,1,1
0,0,0.1,0
1,1,1,1
1,1,1,1
0,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.41667,1
1,1,1,1
0.75,0.75,0.25,0.5
1,0.7,0.125,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,0.8,1
0,0,0,0
0.99,1,0.28571,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.33333,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
0.9,1,0.22222,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,0.25,1
0.9194,0.9432,0.7484,0.897
